2026-06-29 10:28:43,428 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.coingecko.com/api/v3/coins/bitcoin/market_chart?vs_currency=usd&days=max...
2026-06-29 10:28:43,974 | ERROR    | INFRA.CONNECT.request | Houve um erro na requisição!!!
2026-06-29 10:31:42,812 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.coingecko.com/api/v3/coins/bitcoin/market_chart?vs_currency=usd&days=max...
2026-06-29 10:31:43,305 | ERROR    | INFRA.CONNECT.request | Houve um erro na requisição, o erro é 401 | {"error":{"status":{"timestamp":"2026-06-29T13:32:45.373+00:00","error_code":10012,"error_message":"Your request exceeds the allowed time range. Public API users are limited to querying historical data within the past 365 days. Upgrade to a paid plan to enjoy full historical data access: https://www.coingecko.com/en/api/pricing. "}}}
2026-06-29 10:32:56,678 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.coingecko.com/api/v3/coins/bitcoin/market_chart?vs_currency=usd&days=365...
2026-06-29 10:32:57,138 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 10:37:05,737 | INFO     | INFRA.CONNECT.connect | Iniciando conexão com Celery...
2026-06-29 10:37:05,756 | INFO     | INFRA.CONNECT.connect | conexão inciada!!
2026-06-29 10:37:34,887 | INFO     | INFRA.CONNECT.connect | Iniciando conexão com Celery...
2026-06-29 10:37:34,895 | INFO     | INFRA.CONNECT.connect | conexão inciada!!
2026-06-29 11:53:05,450 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 11:53:06,239 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 11:54:10,986 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 11:54:12,282 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 11:56:41,194 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 11:56:44,923 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
